Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Hackmann H., St Clair A.L.","","Transformative Cornerstones of Social Science Research for Global Change",2012,"Transformative Cornerstones of Social Science Research for Global Change",,,,"","",,82,,2-s2.0-84874419199
"O'Brien K.","7202076921;","Global environmental change III: Closing the gap between knowledge and action",2013,"Progress in Human Geography","37","4",,"587","596",,129,"10.1177/0309132512469589",2-s2.0-84879904164
"Leach M., Scoones I., Stirling A.","7201653088;7003643020;7005167329;","Dynamic sustainabilities: Technology, environment, social justice",2010,"Dynamic Sustainabilities: Technology, Environment, Social Justice",,,,"1","206",,545,"10.4324/9781849775069",2-s2.0-84911162056
"Stirling A.","7005167329;","Pluralising progress: From integrative transitions to transformative diversity",2011,"Environmental Innovation and Societal Transitions","1","1",,"82","88",,139,"10.1016/j.eist.2011.03.005",2-s2.0-79958015917
"Smith A., Stirling A., Berkhout F.","55740330500;7005167329;55425546700;","The governance of sustainable socio-technical transitions",2005,"Research Policy","34","10",,"1491","1510",,1357,"10.1016/j.respol.2005.07.005",2-s2.0-28044457458
"Schot J., Steinmueller W.E.","55425822000;6602841466;","New directions for innovation studies: Missions and transformations",2018,"Research Policy","47","9",,"1583","1584",,27,"10.1016/j.respol.2018.08.014",2-s2.0-85053502086
"Stirling A.","7005167329;","EMANCIPATING TRANSFORMATIONS: From controlling ‘the transition’ to culturing plural radical progress",2015,"The Politics of Green Transformations",,,,"54","67",,91,"10.4324/9781315747378-4",2-s2.0-85145129826
"Kates R.W., Travis W.R., Wilbanks T.J.","7006599903;7102772438;6701860531;","Transformational adaptation when incremental adaptations to climate change are insufficient",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","19",,"7156","7161",,795,"10.1073/pnas.1115521109",2-s2.0-84860803106
"Scoones I., Leach M., Newell P.","","The politics of green transformations",2015,"The Politics of Green Transformations",,,,"1","24",,22,,2-s2.0-84930667222
"Foster J.B., Clark B., York R.","","The Ecological Rift: Capitalism's War on the Earth",2010,"The Ecological Rift: Capitalism's War on the Earth",,,,"","",,746,,2-s2.0-78650790597
"D'Alisa G., Demaria F., Kallis G.","","Degrowth: A Vocabulary for a New Era",2014,"Degrowth: A Vocabulary for a New Era",,,,"","",,623,,2-s2.0-84922792006
"O'Brien K.","7202076921;","Global environmental change II: From adaptation to deliberate transformation",2012,"Progress in Human Geography","36","5",,"667","676",,664,"10.1177/0309132511425767",2-s2.0-84857938593
"Grin J., Rotmans J., Schot J.","6603701820;7005311747;55425822000;","Preface",2010,"Transitions to Sustainable Development: New Directions in the Study of Long Term Transformative Change",,,,"xvii","xix",,619,"10.4324/9780203856598",2-s2.0-84920750376
"Scoones I.","7003643020;","The Politics of Sustainability and Development",2016,"Annual Review of Environment and Resources","41",,,"293","319",,128,"10.1146/annurev-environ-110615-090039",2-s2.0-84992195840
"Marx K.","",[No title available],1976,"Capital: A Critique of Political Economy",,,,"","",,6777,,2-s2.0-0003970747
"Lenin V.I.","","Revolution, Democracy, Socialism",2008,"Revolution Democracy, Socialism: Selected Writings",,,,"","",,5,,2-s2.0-85043976761
"Gramsci A.","",[No title available],1971,"Selections from the Prison Notebooks",,,,"","",,13161,,2-s2.0-0004252976
"Davis M.","",[No title available],2018,"Old Gods, New Enigmas: Marx’s Lost Theory",,,,"","",,26,,2-s2.0-85055872933
"Mouffe C.","","For a left populism",2018,"For a Left Populism",,,,"","",,724,,2-s2.0-85053849086
"Jackson T.","",[No title available],0000,,,,,"","",,1,,2-s2.0-85078215790
"Lara L.G., Pereira L.M., Ravera F., Jiménez-Aceituno A.","57207769481;36626441000;35722829200;57201457353;","Flipping the Tortilla: Social-ecological innovations and traditional ecological knowledge for more sustainable agri-food systems in Spain",2019,"Sustainability (Switzerland)","11","5","1222","","",,32,"10.3390/su11051222",2-s2.0-85062861565
"Martínez-Alier J., Pascual U., Vivien F.-D., Zaccai E.","6701647219;8318429700;6701680414;23398892900;","Sustainable de-growth: Mapping the context, criticisms and future prospects of an emergent paradigm",2010,"Ecological Economics","69","9",,"1741","1747",,410,"10.1016/j.ecolecon.2010.04.017",2-s2.0-77955561126
"Kallis G., Kerschner C., Martinez-Alier J.","8580877300;26221322200;6701647219;","The economics of degrowth",2012,"Ecological Economics","84",,,"172","180",,317,"10.1016/j.ecolecon.2012.08.017",2-s2.0-84869114840
"Kaijser A., Kronsell A.","55883410200;6507658036;","Climate change through the lens of intersectionality",2014,"Environmental Politics","23","3",,"417","433",,341,"10.1080/09644016.2013.835203",2-s2.0-84899526848
"Maina-Okori N.M., Koushik J.R., Wilson A.","57196393125;57196391725;55458766200;","Reimagining intersectionality in environmental and sustainability education: A critical literature review",2018,"Journal of Environmental Education","49","4",,"286","296",,39,"10.1080/00958964.2017.1364215",2-s2.0-85032835495
"Fraser N.","35942348700;","A Triple movement?: Parsing the politics of crisis after Polanyi",2013,"New Left Review",,"81",,"119","132",,200,,2-s2.0-84880360426
"Wainwright H.","",[No title available],2018,"A New Politics from the Left",,,,"","",,25,,2-s2.0-85052084916
"Abrol D.","6603359109;","Conditions for the achievement of pharmaceutical innovation for sustainable development: lessons from India",2006,"World Review of Science, Technology and Sustainable Development","3","4",,"344","361",,3,"10.1504/WRSTSD.2006.011113",2-s2.0-84858287117
"Meadows D.H.","23009202400;","System dynamics meets the press",1989,"System Dynamics Review","5","1",,"69","80",,42,"10.1002/sdr.4260050106",2-s2.0-84982067415
"Meadows D.H., Meadows D.L., Randers J.","23009202400;57225745010;23009900800;","Beyond the limits: global collapse or a sustainable future",1992,"Beyond the limits: global collapse or a sustainable future",,,,"","",300,436,,2-s2.0-85040901341
"Holling C.S.","","Resilience and stability of ecological systems",1973,"Annual Review of Ecology and Systematics","4",,,"1","23",,10107,,2-s2.0-0002054228
"Folke C., Carpenter S.R., Walker B., Scheffer M., Chapin T., Rockström J.","7006090884;55630395300;7402209094;7004818551;7007033191;6603746245;","Resilience thinking: Integrating resilience, adaptability and transformability",2010,"Ecology and Society","15","4",,"","",,2363,"10.5751/ES-03610-150420",2-s2.0-78651520429
"Berkes F., Colding J., Folke C.","",[No title available],2003,"Navigating Social-Ecological Systems: Building Resilience for Complexity and Change",,,,"","",,2733,,2-s2.0-0004315429
"Brown K.","7404382278;","Global environmental change I: A social turn for resilience?",2014,"Progress in Human Geography","38","1",,"107","117",,408,"10.1177/0309132513498837",2-s2.0-84893553455
"Westley F., Olsson P., Folke C., Homer-Dixon T., Vredenburg H., Loorbach D., Thompson J., Nilsson M., Lambin E., Sendzimir J., Banerjee B., Galaz V., Van Der Leeuw S.","6602120712;34572074500;7006090884;6602904133;6602270693;24450788200;57204103149;55421465100;7006191947;55992753100;39061130300;9739507600;6508004334;","Tipping toward sustainability: Emerging pathways of transformation",2011,"Ambio","40","7",,"762","780",,515,"10.1007/s13280-011-0186-9",2-s2.0-80155184870
"Olsson P., Galaz V., Boonstra W.J.","34572074500;9739507600;15021878400;","Sustainability transformations: A resilience perspective",2014,"Ecology and Society","19","4","1","","",13,341,"10.5751/ES-06799-190401",2-s2.0-84924425314
"Folke C.","7006090884;","Resilience: The emergence of a perspective for social-ecological systems analyses",2006,"Global Environmental Change","16","3",,"253","267",,4491,"10.1016/j.gloenvcha.2006.04.002",2-s2.0-33746208456
"Geels F.W.","6602343954;","Technological transitions as evolutionary reconfiguration processes: A multi-level perspective and a case-study",2002,"Research Policy","31","8-9",,"1257","1274",,3599,"10.1016/S0048-7333(02)00062-8",2-s2.0-31244436673
"Rip A., Kemp R.","","Technological change",1998,"Human Choice and Climate Change","2",,,"327","399",,1567,,2-s2.0-0000806091
"Geels F.W.","6602343954;","Technological transitions and system innovations: A co-evolutionary and socio-technical analysis",2005,"Technological Transitions and System Innovations: A Co-Evolutionary and Socio-Technical Analysis",,,,"","",328,585,,2-s2.0-84881982022
"Loorbach D., Rotmans J.","24450788200;7005311747;","The practice of transition management: Examples and lessons from four distinct cases",2010,"Futures","42","3",,"237","246",,405,"10.1016/j.futures.2009.11.009",2-s2.0-77950860744
"Kern F.","","Energy transitions and deliberate transition management: implementing the green economy",2013,"Ökologisches Wirtschaften",,"3",,"20","22",,6,,2-s2.0-84992174551
"Geels F.W.","6602343954;","Regime Resistance against Low-Carbon Transitions: Introducing Politics and Power into the Multi-Level Perspective",2014,"Theory, Culture & Society","31","5",,"21","40",,889,"10.1177/0263276414531627",2-s2.0-84907085137
"Raven R., Ghosh B., Wieczorek A., Stirling A., Ghosh D., Jolly S., Karjangtimapron E., Prabudhanitisarn S., Roy J., Sangawongse S., Sengers F.","7006534473;57194272349;7005334493;7005167329;57198004975;55175455000;57194282361;55793339600;7202869544;51161793200;36053735200;","Unpacking sustainabilities in diverse transition contexts: solar photovoltaic and urban mobility experiments in India and Thailand",2017,"Sustainability Science","12","4",,"579","596",,31,"10.1007/s11625-017-0438-0",2-s2.0-85019559366
"Seyfang G.","","The New Economics of Sustainable Consumption: Seeds of Change",2009,"The New Economics of Sustainable Consumption: Seeds of Change",,,,"","",,285,,2-s2.0-59349090213
"Pansera M., Owen R.","35100748300;7401888224;","Framing inclusive innovation within the discourse of development: Insights from case studies in India",2018,"Research Policy","47","1",,"23","34",,72,"10.1016/j.respol.2017.09.007",2-s2.0-85030748833
"Abrol D.","","Embedding technology in community-based production systems through peoples technology initiatives: Lessons from the Indian experience",2005,"Int. J. Technol. Manag. Sustain. Dev.","4","1",,"3","20",,18,,2-s2.0-84888293549
"Schmitz H.","7203078501;","GREEN TRANSFORMATION: Is there a fast track?",2015,"The Politics of Green Transformations",,,,"170","184",,32,"10.4324/9781315747378-11",2-s2.0-85145138390
"Meadowcroft J.","8667228200;","Engaging with the politics of sustainability transitions",2011,"Environmental Innovation and Societal Transitions","1","1",,"70","75",,410,"10.1016/j.eist.2011.02.003",2-s2.0-79957999094
"Temper L., Walter M., Rodriguez I., Kothari A., Turhan E.","29567631700;36180618500;7102747282;35292478800;56613089100;","A perspective on radical transformations to sustainability: resistances, movements and alternatives",2018,"Sustainability Science","13","3",,"747","764",,110,"10.1007/s11625-018-0543-8",2-s2.0-85043699297
"Shove E., Walker G.","6602804089;7402390532;","CAUTION! Transitions ahead: Politics, practice, and sustainable transition management",2007,"Environment and Planning A","39","4",,"763","770",,718,"10.1068/a39310",2-s2.0-34248190229
"Moore M.-L., Olsson P., Nilsson W., Rose L., Westley F.R.","37119327700;34572074500;56816758800;57202867672;6602120712;","Navigating emergence and system reflexivity as key transformative capacities: Experiences from a Global Fellowship program",2018,"Ecology and Society","23","2","38","","",15,51,"10.5751/ES-10166-230238",2-s2.0-85049617604
"Drimie S., Hamann R., Manderson A.P., Mlondobozi N.","24461444000;7003476701;57204694774;57204695405;","Creating transformative spaces for dialogue and action: Reflecting on the experience of the Southern Africa food lab",2018,"Ecology and Society","23","3","2","","",9,21,"10.5751/ES-10177-230302",2-s2.0-85056735592
"O'Brien K.","7202076921;","Political agency: The key to tackling climate change",2015,"Science","350","6265",,"1170","1171",,70,"10.1126/science.aad0267",2-s2.0-84949023818
"Sools A., Mooren J.H.M.","","Towards narrative futuring in psychology: Becoming resilient by imagining the future",2012,"Graduate Journal of Social Science","9","2",,"203","226",,27,,2-s2.0-84906939781
"Bandura A.","7005427929;","Toward a Psychology of Human Agency",2006,"Perspectives on Psychological Science","1","2",,"164","180",,1600,"10.1111/j.1745-6916.2006.00011.x",2-s2.0-84993790889
"Pereira L.M., Karpouzoglou T., Frantzeskaki N., Olsson P.","36626441000;55014351600;7801567129;34572074500;","Designing transformative spaces for sustainability in social-ecological systems",2018,"Ecology and Society","23","4","32","","",,78,"10.5751/ES-10607-230432",2-s2.0-85049656286
"Hulme M.","",[No title available],2009,"Why We Disagree About Climate Change",,,,"","",,1908,,2-s2.0-67651012895
"Stirling A.","7005167329;","Transforming power: Social science and the politics of energy choices",2014,"Energy Research and Social Science","1",,,"83","95",,333,"10.1016/j.erss.2014.02.001",2-s2.0-84904596319
"Stirling A.","","Engineering and sustainability: control and care in unfoldings of modernity",2019,"Routledge Companion to the Philosophy of Engineering","06",,,"","",,7,,2-s2.0-85078183138
"Mouffe C.","",[No title available],1993,"The Return of the Political",,,,"","",,1936,,2-s2.0-0004099909
"Fraser N.","","Can Society Be Commodities All the Way Down? Polanyian Reflections on Capitalist Crisis",2012,"Can Society Be Commodities All the Way Down? Polanyian Reflections on Capitalist Crisis",,"18",,"","",,45,,2-s2.0-84892598492
"Hall A.J., Yoganand B., Sulaiman R.V., Clark N.G.","","Post-harvest innovations in innovation: Reflections on partnership and learning",2003,"Post-harvest Innovations in Innovation: Reflections on Partnership and Learning",,,,"","",,3,,2-s2.0-84905082169
"Abrol D.","","Pro-poor innovation-making, knowledge production and technology implementation for rural areas: lessons from the Indian experience",2014,"Innovation in India: Melting Economic Growth with Inclusive Development",,,,"1","26",,10,,2-s2.0-85010083904
"Pereira L.M., Hichert T., Hamann M., Preiser R., Biggs R.","36626441000;36117501700;56765409600;55872047200;16232203200;","Using futures methods to create transformative spaces: Visions of a good anthropocene in Southern Africa",2018,"Ecology and Society","23","1","19","","",,95,"10.5751/ES-09907-230119",2-s2.0-85044974363
"Galafassi D., Daw T.M., Thyresson M., Rosendo S., Chaigneau T., Bandeira S., Munyi L., Gabrielsson I., Brown K.","56543570000;8208327400;6504784789;6506813385;36932980200;57203411548;56674622300;57201461596;7404382278;","Stories in social-ecological knowledge cocreation",2018,"Ecology and Society","23","1","23","","",,44,"10.5751/ES-09932-230123",2-s2.0-85044972158
"Dyer M.","57188762113;","Transforming communicative spaces: The rhythm of gender in meetings in rural Solomon Islands",2018,"Ecology and Society","23","1","17","","",,14,"10.5751/ES-09866-230117",2-s2.0-85044947133
"Marshall F., Dolley J., Priya R.","7201817249;57202579015;6603556575;","Transdisciplinary research as transformative space making for sustainability: Enhancing propoor transformative agency in Periurban contexts",2018,"Ecology and Society","23","3","8","","",13,38,"10.5751/ES-10249-230308",2-s2.0-85055621963
"Arora S.","",[No title available],2017,"Defying control: aspects of caring engagement between divergent knowledge practices",,,,"","",,4,,2-s2.0-85062264958
"Hebinck A., Vervoort J.M., Hebinck P., Rutting L., Galli F.","57194467507;36054026400;14630210200;55546981300;56127277600;","Imagining transformative futures: Participatory foresight for food systems change",2018,"Ecology and Society","23","2","16","","",19,55,"10.5751/ES-10054-230216",2-s2.0-85048539011
