"ref","Freq","citation"
"143",1," Kivimaa P, Kern F. 2016. Creative destruction or mere niche support? Innovation policy mixes for sustainability transitions. Res. Policy 45:205–17"
"145",1," Grin J. 2012. The politics of transition governance in Dutch agriculture. Conceptual understanding and implications for transition management. Int. J. Sustain. Dev. 15:72–89"
"146",1," Spaargaren G, Oosterveer P, Loeber A. 2013. Food Practices in Transition: Changing Food Consumption, Retail and Production in the Age of Reflexive Modernity. New York: Routledge"
"147",1," Geels F, Kemp R, Dudley G, Lyons G. 2011. Automobility in Transition? A Socio-technical Analysis of Sustainable Transport. New York: Routledge"
"149",1," Schot J, Geels FW. 2008. Strategic niche management and sustainable innovation journeys: Theory, findings, research agenda, and policy. Technol. Anal. Strateg. Manag. 20:537–54"
"15",1," van den Bergh JCJM, Gowdy JM. 2000. Evolutionary theories in environmental and resource economics: approaches and applications. Environ. Resour. Econ. 17:37–57"
"152",1," Loorbach D. 2014. To Transition! Governance Panarchy in the New Transformation. Rotterdam, Neth.: Dutch. Res. Inst. Trans., Erasmus Univ."
"153",1," Nevens F, Frantzeskaki N, Gorissen L, Loorbach D. 2013. Urban transition labs: co-creating transformative action for sustainable cities. J. Clean. Prod. 50:111–22"
"154",1," Ernston H, Van der Leeuw S, Redman C, Meffert D, Davis G, et al. 2010. Urban transitions: on urban resilience and human-dominated ecosystems. AMBIO: A J. Hum. Environ. 39:531–45"
"155",1," Hess DJ. 2014. Sustainability transitions: a political coalition perspective. Res. Policy 43:278–83"
"156",1," Bosman R, Loorbach D, Frantzeskaki N, Pistorius T. 2014. Discursive regime dynamics in the Dutch energy transition. Environ. Innov. Soc. Transit. 14:45–59"
"157",1," Wittmayer JM, Schäpke N. 2014. Action, research and participation: roles of researchers in sustainability transitions. Sustain. Sci. 9:483–96"
"159",1," Hadorn GH, Bradley D, Pohl C, Rist S, Wiesmann U. 2006. Implications of transdisciplinarity for sustainability research. Ecol. Econ. 60:119–28"
"16",1," O’Riordan T. 2001. Globalism, Localism, and Identity: Fresh Perspectives on the Transition to Sustainability. London: Earthscan"
"162",1," Wittmayer J, Schäpke N, Feiner G, Piotrowski R, van Steenbergen F, Baasch S. 2013. Action research for sustainability: reflections on transition management in practice. Res. Brief, InContext, FP7. https://www.researchgate.net/profile/Niko_Schaepke/publication/262378898_Action_research_for_sustainability_-_Reflection_on_transition_management_in_practice/links/00b7d5378f4a31c5ad000000.pdf"
"163",1," Funtowicz SO, Ravetz JR. 1993. Science for the post-normal age. Futures 25:739–55"
"164",1," Kates RW, Clark WC, Corell R, Hall JM, Jaeger C, et al. 2001. Environment and development—sustainability science. Science 292:641–42"
"165",1," Yarime M, Trencher G, Mino T, Scholz RW, Olsson L, et al. 2012. Establishing sustainability science in higher education institutions: towards an integration of academic development, institutionalization, and collaborations with stakeholders. Sustain. Sci. 7(1):101–13"
"166",1," Trencher G, Bai X, Evans J, McCormick K, Yarime M. 2014. University partnerships for co-designing and co-producing urban sustainability. Glob. Environ. Change 28:153–65"
"17",1," Van Asselt MBA, Rotmans J. 1996. Uncertainty in perspective. Glob. Environ. Change 6:121–57"
"170",1," Frantzeskaki N, Grin J, Thissen W. 2016. Drifting between transitions, the case of the Greek environmental transition in relation to the river Acheloos Diversion project. Technol. Forecast. Soc. Change 102:275–86"
"171",1," Wittmayer JM, Schäpke N. 2014. Action, research and participation: roles of researchers in sustainability transitions. Sustain. Sci. 9:483–96"
"172",1," Audet R. 2014. The double hermeneutic of sustainability transitions. Environ. Innov. Soc. Transit. 11:46–49"
"18",1," Rotmans J. 1998. Methods for IA: the challenges and opportunities ahead. Environ. Model. Assess. 3:155–79"
"19",1," Loorbach D. 2007. Transition Management: New Mode of Governance for Sustainable Development. Rotterdam, Neth.: Erasmus Univ. Rotterdam Press"
"2",1," Verbong G, Loorbach D, eds. 2012. Governing the Energy Transition: Reality, Illusion or Necessity? New York: Routledge"
"20",1," Voss J, Bauknecht D, Kemp R, eds. 2006. Reflexive Governance for Sustainable Development. Cheltenham, UK: Edward Elgar"
"21",1," Wolfram M. 2015. Conceptualizing urban transformative capacity: a framework for research and policy. Cities 50:121–30"
"22",1," Wittmayer JM, van Steenbergen F, Rok A, Roorda C. 2015. Governing sustainability: a dialogue between Local Agenda 21 and transition management. Local Environ. 21:939–55"
"24",1," van den Bergh JCJM. 2013. Economic-financial crisis and sustainability transition: introduction to the special issue. Environ. Innov. Soc. Transit. 6:1–8"
"28",1," Seyfang G, Haxeltine A. 2012. Growing grassroots innovations: exploring the role of community-based initiatives in governing sustainable energy transitions. Environ. Plann. C 30:381–400"
"29",1,"  Smith A. 2012. Civil society in sustainable energy transitions. In Governing the Energy Transition: Reality, Illusion, or Necessity?, ed. G Verbong, D Loorbach, pp. 190–202. New York: Routledge"
"30",1," European Environment Agency (EEA). 2015. SOER 2015—the European environment—state and outlook 2015: a comprehensive assessment of the European environment’s state, trends and prospects, in a global context. Rep., EEA, Cph., Den. http://www.eea.europa.eu/soer"
"31",1," Organisation for Economic Co-operation and Development (OECD). 2015. System innovation: synthesis report. Rep., OECD, Paris. http://www.innovationpolicyplatform.org/sites/default/files/general/SYSTEMINNOVATION_FINALREPORT.pdf"
"32",1," Naberhaus M. 2011. Effective strategies for the great transition: five leverage points for civil society organisations. Conf. Pap., Smart CSO, London. http://www.smart-csos.org/images/Documents/Smart%20CSOs%20Report%20english.pdf"
"36",1," Geels FW. 2002. Technological transitions as evolutionary reconfiguration processes: a multi-level perspective and a case-study. Res. Policy 31:1257–74"
"38",1," Geels F. 2006. Major system change through stepwise reconfiguration: a multi-level analysis of the transformation of American factory production. Technol. Soc. 28:445–76"
"42",1," Van den Bergh J, Stagl S. 2004. Coevolution of economic behaviour and institutions: towards a theory of institutional change. J. Evol. Econ. 13:289–317"
"44",1," Raven R. 2007. Niche accumulation and hybridisation strategies in transition processes towards a sustainable energy system: an assessment of differences and pitfalls. Energy Policy 35:2390–400"
"45",1," Geels F, Raven R. 2006. Non-linearity and expectations in niche-development trajectories: ups and downs in Dutch biogas development (1973–2003). Technol. Anal. Strateg. Manag. 18:375–92"
"46",1," Elzen B, Wieczorek A. 2005. Transitions towards sustainability through system innovation. Technol. Forecast. Soc. Change 72:651–61"
"47",1," Smith A, Voß J-P, Grin J. 2010. Innovation studies and sustainability transitions: the allure of the multilevel perspective and its challenges. Res. Policy 39:435–48"
"48",1," Bergek A, Jacobsson S, Carlsson B, Lindmark S, Rickne A. 2008. Analyzing the functional dynamics of technological innovation systems: a scheme of analysis. Res. Policy 37:407–29"
"49",1," Jørgensen U. 2012. Mapping and navigating transitions—the multi-level perspective compared with arenas of development. Res. Policy 41:996–1010"
"51",1," Suurs RA. 2009. Motors of Sustainable Innovation: Towards a Theory on the Dynamics of Technological Innovation Systems. Utrecht, Neth.: Utrecht Univ. https://dspace.library.uu.nl/handle/1874/33346"
"53",1," Frantzeskaki N, Loorbach D, Meadowcroft J. 2012. Governing societal transitions to sustainability. Int. J. Sustain. Dev. 15:19–36"
"54",1," Shove E, Walker G. 2010. Governing transitions in the sustainability of everyday life. Res. Policy 39:471–6"
"58",1," Coenen L, Benneworth P, Truffer B. 2012. Toward a spatial perspective on sustainability transitions. Res. Policy 41:968–79"
"6",1," Van den Bergh, Jeroen CJM, Truffer B, Kallis G. 2011. Environmental innovation and societal transitions: introduction and overview. Environ. Innov. Soc. Transit. 1:1–23"
"60",1," Konrad K, Truffer B, Voß J. 2008. Multi-regime dynamics in the analysis of sectoral transformation potentials: Evidence from German utility sectors. J. Clean. Prod. 16:1190–202 www.annualreviews.org • Sustainability Transitions Research"
"61",1," Beers PJ, Sol J, Wals A. 2010. Social learning in a multi-actor innovation context. Presented at Int. Farm. Syst. Assoc. Conf., Vienna, Austria, 3–7 July"
"64",1," Shove E, Walker G. 2008. Transition management and the politics of shape shifting. Environ. Plann. A 40:1012–14"
"65",1," Hendriks CM. 2009. Policy design without democracy? Making democratic sense of transition management. Policy Sci. 42:341–68"
"66",1," Meadowcroft J. 2009. What about the politics? Sustainable development, transition management, and long term energy transitions. Policy Sci. 42:323–40"
"67",1," Kern F, Howlett M. 2009. Implementing transition management as policy reforms: A case study of the Dutch energy sector. Policy Sci. 42:391–408"
"68",1," Voß J, Smith A, Grin J. 2009. Designing long-term policy: rethinking transition management. Policy Sci. 42:275–302"
"69",1," Avelino F. 2011. Power in transition: empowering discourses on sustainability transitions. PhD thesis, Erasmus Univ., Rotterdam, Neth. https://repub.eur.nl/pub/30663"
"7",1,"  Frantzeskaki N, Loorbach D. 2010. Towards governing infrasystem transitions: Reinforcing lock-in or facilitating change? Technol. Forecast. Soc. Change 77:1292–301"
"70",1," Hoffman J. 2013. Theorizing power in transition studies: the role of creativity and novel practices in structural change. Policy Sci. 46:257–75"
"71",1," Pel B. 2015. Trojan horses in transitions: a dialectical perspective on innovation “capture.” J. Environ. Policy Plann. 18:673–91"
"76",1," Späth P, Rohracher H. 2010. ‘Energy regions’: the transformative power of regional discourses on socio-technical futures. Res. Policy 39:449–58"
"77",1," Avelino F, Dumitru A, Longhurst N, Wittmayer J, Hielscher S, et al. 2015. Transitions towards new economies? A transformative social innovation perspective. Work. Pap. 3, TRANSIT"
"78",1," Haxeltine A, Wittmayer J, Avelino F, Kemp R, Weaver P, et al. 2013. Transformative social innovations: a sustainability transition perspective on social innovation. Presented Soc. Front. Next Edge Soc. Innov. Res., Nov. 13–14, Glasgow Caledonian Univ., London"
"79",1," Holling CS. 1973. Resilience and stability of ecological systems. Annu. Rev. Ecol. Syst. 4:1–23"
"8",1," O’Riordan T. 1996. Politics of Climate Change: A European Perspective. London: Psychology Press"
"81",1," Rockstrom J, Steffen W, Noone K, Persson A, Chapin FS, et al. 2009. A safe operating space for humanity. Nature 461:472–75"
"83",1," Haberl H, Fischer-Kowalski M, Krausmann F, Martinez-Alier J, Winiwarter V. 2011. A socio-metabolic transition towards sustainability? Challenges for another great transformation. Sustainable Dev. 19:1–14"
"84",1," Folke C, Hahn T, Olsson P, Norberg J. 2005. Adaptive governance of socio-ecological systems. Annu. Rev. Environ. Resour. 30:441–73"
"85",1," Krausmann F, Schandl H, Sieferle RP. 2008. Socio-ecological regime transitions in Austria and the United Kingdom. Ecol. Econ. 65:187–201"
"86",1," Haase D, Frantzeskaki N, Elmqvist T. 2014. Ecosystem services in urban landscapes: practical applications and governance implications. Ambio 43:407–12"
"87",1," Chapin III FS, Kofinas GP, Folke C, Chapin MC. 2009. Principles of Ecosystem Stewardship: Resilience-Based Natural Resource Management in a Changing World. New York: Springer-Verlag"
"88",1," Steffen W, Persson Å, Deutsch L, Zalasiewicz J, Williams M, et al. 2011. The Anthropocene: from global change to planetary stewardship. AMBIO: A J. Hum. Environ. 40:739–61"
"89",1," Österblom H, Gårdmark A, Bergström L, Müller-Karulis B, Folke C, et al. 2010. Making the ecosystem approach operational—Can regime shifts in ecological-and governance systems facilitate the transition? Mar. Policy 34:1290–99"
"9",1," Raskin P. 2002. Great Transition: The Promise and Lure of the Time Ahead. Boston: Stockholm Environ. Inst."
"90",1," Olsson P, Galaz V, Boonstra WJ. 2014. Sustainability transformations: a resilience perspective. Ecol. Soc. 19:1"
"91",1," Jessop B. 2003. Governance and metagovernance: on reflexivity, requisite variety, and requisite irony. In Governance, as Social and Political Communication, ed. H Bang, pp. 142–72. Manchester, UK: Manchester Univ. Press"
"92",1," Rhodes RAW. 1996. The new governance: governing without government. Polit. Stud. 44:652–67"
"93",1," Beck U, Giddens A, Lash S. 1994. Reflexive Modernization: Politics, Tradition and Aesthetics in the Modern Social Order. Stanford, CA: Stanford Univ. Press"
"94",1," Eising R, Kohler-Koch B. 1999. Introduction: network governance in the European Union. In The Transformation of Governance in the European Union, ed. B Kohler-Koch, R Eising, pp. 3–13. London: Routledge"
"95",1," Hooghe L. and Marks G. 2001. Multi-level Governance and European Integration. Oxford, UK: Rowman & Littlefield"
"96",1," Milward HB, Provan KG. 2000. How networks are governed. In Governance and Performance, ed. H Lynn, pp. 238–62. Washington, DC: Georgetown Univ. Press"
"97",1," Scharpf F. 1997. The problem solving capacity of multi-level governance. J. Eur. Public Policy 4:520–38"
"98",1," Voss JP, Bauknecht D, Kemp R, eds. 2006. Reflexive Governance for Sustainable Development. Cheltenham, UK: Edward Elgar Publ."
