"ref","Freq","citation"
"47",1," Folke C: Resilience: the emergence of a perspective for social–ecological systems analyses. Glob Environ Change 2006,16:253-267."
"48",1," Geels FW: Technological transitions as evolutionaryreconfiguration processes: a multi-level perspective and acase-study. Res Policy 2002, 31:1257-1274."
"49",1," Rip A, Kemp R: Technological change. In Human Choice andclimate change: an international assessment. Edited by Rayner S,Malone EL. Columbus: Batelle Press; 1998:327-399."
"50",1," Geels F: Technological Transitions and System Innovations: a Coevolutionary and Socio-technical Analysis. Cheltenham, UK;Northampton, MA: Edward Elgar; 2005."
"51",1," Loorbach D, Rotmans J: The practice of transitionmanagement: examples and lessons from four distinct cases.Futures 2010, 42:237-246."
"53",1," Geels FW: Regime resistance against low carbon transitions:introducing politics and power into the multi-levelperspective. Theory Cult Soc 2014, 31:21-40."
"54",1," Raven R, Ghosh B, Wieczorek A, Stirling A, Ghosh D, Jolly S,Karjangtimapron E, Prabudhanitisarn S, Roy J, Sangawongse S,Sengers F: Unpacking sustainabilities in diverse transitioncontexts: solar photovoltaic and urban mobility experimentsin India and Thailand. Sustain. Sci. 2017, 12(4):579-596Focusing on two key fields for sustainability transformations in two urbansettings in the Global South, this paper explores a dimension that isunusual in the ‘technological transitions’ field, in that it systematicallyanalyses a number of dimensions of diversity in the framing both ofsustainability and transformation."
"55",1," Seyfang G: The new economics of sustainable consumption:seeds of change. Basingstoke. Palgrave Macmillan; 2008."
"56",1," Pansera M, Owen R: Framing inclusive innovation within thediscourse of development: insights from case studies in India.Res Policy 2017, 47:23-34Exploring ideas and practices around ‘inclusive innovation’ in an important setting in the Global South, this provides a useful and authoritativeoverview of a concept that is becoming increasingly prominent in discussions of transformations to sustainability."
"58",1," Schmitz H: Green transformation: is there a fast track? In ThePolitics of Green Transformations. Edited by Scoones I, Leach M,Newell P. London: Routledge; 2015."
"60",1," Temper L, Walter M, Rodriguez I, Kothari A, Turhan E: Aperspective on radical transformations to sustainability:resistances, movements and alternatives. Sustain Sci 2018,13:747-764."
"61",1," Shove E, Walker G: CAUTION! Transitions ahead: politics,practice, and sustainable transition management. Environ PlanA 2007, 39:763-770."
"64",1," Brien KO: Political agency: the key to tackling climate change.Science (80-) 2015, 350."
"65",1," Sools A, Hein Mooren J: Towards narrative futuring inpsychology: becoming resilient by imagining the future. Grad JSoc Sci 2012, 9:203."
"66",1," Bandura A: Toward a psychology of human agency. PerspectPsychol Sci 2006, 1:164-180.www.sciencedirect.com"
"68",1," Hulme M: Why We Disagree About Climate Change. Cambridge:Cambridge Univ Press; 2009."
"69",1," Stirling A: Transforming power: social science and the politicsof energy choices. Energy Res Soc Sci 2014, 1:83-95."
"71",1," Mouffe C: The Return of the Political. London: Verso; 1993."
"72",1," Fraser N: Can society be commodities all the way down?Polanyian reflections on capitalist crisis. FMSH 2012.18 August 2012."
"73",1," Hall AJ, Yoganand B, Sulaiman RV, C.N.G (Eds): Post-harvestInnovations in Innovation: Reflections on Partnership and Learning.Patancheru: Crop Post-Harvest Programme, South Asia; 2003."
"74",1," Abrol D: Pro-poor innovation-making, knowledge productionand technology implementation for rural areas: lessons fromthe Indian experience. In Innovation in India: Melting EconomicGrowth with Inclusive Development. Edited by Ramani S.Cambridge: Cambridge Univ Press; 2014."
"76",1," Galafassi D et al.: Stories in social-ecological knowledgecocreation. Ecol Soc 2018, 23"
"77",1," Dyer M: Transforming communicative spaces: the rhythm ofgender in meetings in rural Solomon Islands. Ecol Soc 2018, 23."
"78",1," Marshall F, Dolley J, Priya R: Transdisciplinary research astransformative space making for sustainability: enhancingpropoor transformative agency in periurban contexts. EcolSoc 2018, 23"
"79",1," Arora S: Defying Control: Aspects of Caring Engagement BetweenDivergent Knowledge Practices. Brighton: STEPS Centre; 2017."
"80",1," Hebinck A, Vervoort JM, Hebinck P, Rutting L, Galli F: Imaginingtransformative futures: participatory foresight for foodsystems change. Ecol Soc 2018, 23"
"81",1," Born B, Purcell M: Avoiding the local trap: scale and food systemsin planning research. J Plan Educ Res 2006, 26:195-207."
"82",1," Brown JC, Purcell M: There’s nothing inherent about scale:political ecology, the local trap, and the politics ofCurrent Opinion in Environmental Sustainability 2020, 42:65–75development in the Brazilian Amazon. Geoforum 2005, 36:607-624."
"83",1," Eakin H: The ‘turn to capacity’ in vulnerability research. InApplied Studies in Climate Adaptation. Edited by Palutikof D,Boulter JP, Barnett S, Rissik J. Chichester: John Wiley; 2015."
"84",1," Jasanoff S: Just transitions: a humble approach to globalenergy futures. Energy Res Soc Sci 2018, 35:11-14."
"85",1," Mitchell T: Carbon Democracy: Political Power in the Age of Oil.London: Verso; 2011."
"86",1," Bulkeley H et al.: Governing climate change transnationally:assessing the evidence from a database of sixty initiatives.Environ Plan C Polit Sp 2014, 30:591-612."
"87",1," Kuzemko C, Mitchell C, Lockwood M, Hoggett R: Policies,politics and demand side innovations: the untold story ofGermany’s energy transition. Energy Res Soc Sci 2017,28:58-67."
"88",1," Smith A, Raven R: What is protective space? Reconsideringniches in transitions to sustainability. Res Policy 2012,41:1025-1036."
"89",1," Folke C, Hahn T, Olsson P, Norberg J: Adaptive governance ofsocial-ecological systems. Annu Rev Environ Resour 2005,30:441-473."
"90",1," Ockwell D et al.: Can pay-as-you-go, digitally enabled businessmodels support sustainability transformations in developingcountries? Outstanding questions and a theoretical basis forfuture research. Sustainability 2019, 11:1-21."
"91",1," Smith A, Fressoli M, Abrol D, Around E, Ely A: GrassrootsInnovation Movements. London: Routledge Earthscan; 2016."
"93",1," STEPS Centre: Innovation, Sustainability, Development: A NewManifesto. . Available (November 2019) at: Brighton: STEPSCentre; 2010 In: https://steps-centre.org/publication/innovation-sustainability-development-a-new-manifesto/."
"94",1," Abrol D: Technological alternatives for Indian futures. InAlternative Futures: India Unshackled. Edited by Kothari A, Joy KJ.Delhi: Authors Upfront; 2017"
"95",1," Asafu-Adjaye J et al.: An Ecomodernist Manifesto. . Available(November 2019) at: Washington: Breathrough Institute; 2015 In:http://www.ecomodernism.org/."
"96",1," Preiser R, Pereira LM, (Oonsie) Biggs R: Navigating alternative framings of human-environment interactions: variations onthe theme of ‘Finding Nemo,’. Anthropocene 2017, 20:83-87"
"98",1," Marin A, Stubrin L, van Zwanenberg P, Van Zwanenberg P:Developing Capabilities in the Seed Industry: Which Direction toFollow? Brighton: Science Policy Research Unit; 2014. Available(November 2019) at: http://sro.sussex.ac.uk/id/eprint/49232/."
"99",1," Wright EO, Folbre N, Andersson J, Hearn J, Himmelweit S,Stirling A: Chapter 21. The multiple directions of socialprogress: ways forward. International Panel on Social Progress:Rethinking Society for the 21st Century. Cambridge: CambridgeUniversity Press; 2018"
"100",1," Vogel C, Moser SC, Kasperson RE, Dabelko GD: Linkingvulnerability, adaptation, and resilience science to practice:pathways, players, and partnerships. Glob Environ Change2007, 17:349-364."
"101",1," Tengö M, Brondizio ES, Elmqvist T, Malmer P, Spierenburg M:Connecting diverse knowledge systems for enhancedecosystem governance: the multiple evidence base approach.Ambio 2014, 43:579-591."
"102",1," Marshall F: Recognising sustainability frontiers in the periurban. South Asian Water Stud 2016, 5:98-102."
"103",1," Jasanoff S (Ed): States of Knowledge: the Co-production ofScience and Social Order. London: Routledge; 2004."
"104",1," Pereira L, Karpouzoglou T, Doshi S, Frantzeskaki N: Organising asafe space for navigating social-ecological transformations tosustainability. Int J Environ Res Public Health 2015, 12:6027-6044."
"105",1," Pereira L, Frantzeskaki N, Hebinck A, Charli L, Scott J, Dyer M:Transformative spaces in the making : key lessons from ninecases in the Global South. Sustain Sci 2019:1-18."
"108",1," Pereira L, Drimie S, Zgambo O, Biggs RO: Planning for change:Transformation Labs for an alternative food system in the WesternCape. . Stellenbosch, South Africa 2018."
"109",1," Ely A, Marin A: Learning about ‘Engaged Excellence’ across  transformative knowledge network. IDS Bull 2016, 47"
"110",1," Sharpe B, Hodgson A, Leicester G, Lyon A, Fazey I: Threehorizons: a pathways practice for transformation. Ecol Soc2016, 21:47."
"111",1," Yang A, Jiang L, Ely C: A study of ‘Green Unemployed Groups’from a resilience perspective. Guizhou Soc Sci 2018, 347:135-142."
"112",1," Eakin H, Shelton R, Siqueiros-Garcia JM, Charli-Joseph L,Manuel-Navarrete D: Loss and social-ecologicaltransformation: Pathways of change in Xochimilco, Mexico.Ecol Soc 2020, 24(3):1-15."
"113",1," Eames M, Mcdowall W: Sustainability, foresight andcontested futures: exploring visions and pathways in thetransition to a hydrogen economy. Technol Anal StrategManag 2010, 22:671-692."
"114",1," Stirling A: How deep is incumbency? A ‘configuring fields’approach to redistributing and reorienting power in socio-material change. Energy Res Soc Sci 2019, 58:101239."
"115",1," Abrol D: Intervening for the sustainable transformation of  urban environment and water management in Gurgaon: learning from the creation of a multistakeholder platform in India. Front Environ Health Rev 2020. Forthcoming"
