"","id","author","publication_year","display_name","doi","cited_by_count","ab"
"11","W2120767947","R. A. W. Rhodes",1996,"The New Governance: Governing without Government","https://doi.org/10.1111/j.1467-9248.1996.tb01747.x",3066,"The term ‘governance’ is popular but imprecise. It has at least six uses, referring to: the minimal state; corporate governance: the new public management; ‘good governance’; socio-cybernetic systems: and self-organizing networks. I stipulate that governance refers to ‘self-organizing, interorganizational networks' and argue these networks complement markets and hierarchies as governing structures for authoritatively allocating resources and exercising control and co-ordination. I defend this definition, arguing that it throws new light on recent changes in British government, most notably: hollowing out the state, the new public management, and intergovernmental management. 1 conclude that networks are now a pervasive feature of service delivery in Britain; that such networks are characterized by trust and mutual adjustment and undermine management reforms rooted in competition; and that they are a challenge to governability because they become autonomous and resist central guidance."
"12","W1974564128","Silvio Funtowicz, Jerome R. Ravetz",1993,"Science for the post-normal age","https://doi.org/10.1016/0016-3287(93)90022-l",3063,"In response to the challenges of policy issues of risk and the environment, a new type of science-‘post-normal’-is emerging. This is analysed in contrast to traditional problem-solving strategies, including core science, applied science, and professional consultancy. We use the two attributes of systems uncertainties and decision stakes to distinguish among these. Postnormal science is appropriate when either attribute is high; then the traditional methodologies are ineffective. In those circumstances, the quality assurance of scientific inputs to the policy process requires an ‘extended peer community’, consisting of all those with a stake in the dialogue on the issue. Post-normal science can provide a path to the democratization of science, and also a response to the current tendencies to post-modernity."
"13","W2127569725","Carl Folke, Stephen R. Carpenter, Brian R. Walker, Marten Scheffer, Terry Chapin, Johan Rockström",2010,"Resilience Thinking: Integrating Resilience, Adaptability and Transformability","https://doi.org/10.5751/es-03610-150420",2417,"Folke, C., S. R. Carpenter, B. Walker, M. Scheffer, T. Chapin, and J. Rockström. 2010. Resilience thinking: integrating resilience, adaptability and transformability. Ecology and Society 15(4): 20. https://doi.org/10.5751/ES-03610-150420"
"14","W2058869237","René Kemp, JW Johan Schot, Remco Hoogma",1998,"Regime shifts to sustainability through processes of niche formation: The approach of strategic niche management","https://doi.org/10.1080/09537329808524310",2127,"The unsustainability of the present trajctories of technical change in sectors such as transport and agriculture is widely recognized. It is far from clear, however, how a transition to more sustainable modes of development may be achieved. Sustainable technologies that fulful important user requirements in terms of performance and price are most often not available on the market. Ideas of what might be more sustainable technologies exist, but the long development times, uncertainty about market demand and social gains, and the need for change at different levels in organization, technology, infastructure and the wider social and institutional context-provide a great barrier. This raises the question of how the potential of more sustainable technologies and modes of development may be exploited. In this article we describe how technical change is locked into dominant technological regimes, and present a perspective, called strategic niche management, on how to expedite a transition into a new regime. The perspective consists of the creation and/or management of nichesfor promising technologies."
"15","W2113991966","Jochen Markard, Rob Raven, Bernhard Truffer",2012,"Sustainability transitions: An emerging field of research and its prospects","https://doi.org/10.1016/j.respol.2012.02.013",2095,"Abstract Sustainability oriented innovation and technology studies have received increasing attention over the past 10–15 years. In particular, a new field dealing with “sustainability transitions” has gained ground and reached an output of 60–100 academic papers per year. In this article, we aim to identify the intellectual contours of this emerging field by conducting a review of basic conceptual frameworks, together with bibliographical analysis of 540 journal articles in the field. It is against this background that we position the six papers assembled in a special section in Research Policy. These papers pave the way for new conceptual developments and serve as stepping-stones in the maturation of sustainability transition studies, by linking with the scholarly literatures of management studies, sociology, policy studies, economic geography, and modeling."
"16","W2002311592","Robert E. Kates, W. G. Clark, R. Corell, John L. Hall, Carlo Jaeger, Lowe I, J. McCarthy, Hans Joachim Schellnhuber, Bryce Bolin, Nancy M. Dickson, Sylvie Faucheux, Gallopin Gc, Arnulf Grubler, Brian Huntley, J. Jäger, N. S. Jodha, Roger E. Kasperson, Ade Mabogunje, P.L. Matson, Harold A. Mooney, Moore Robert B, T O'Riordan, Svedlin U",2001,"Sustainability Science","https://doi.org/10.1126/science.1059386",1972,""
"17","W1999997471","Marko P. Hekkert, R.A.A. Suurs, Simona O. Negro, Stefan Kuhlmann, Ruud Smits",2007,"Functions of innovation systems: A new approach for analysing technological change","https://doi.org/10.1016/j.techfore.2006.03.002",1955,"The central idea of this paper is that innovation systems are a very important determinant of technological change. We describe that the emergence of a new innovation system and changes in existing innovation systems co-evolve with the process of technological change. Therefore, it is necessary to create more insight in the dynamics of innovation systems. Traditional methods of innovation system analysis that mainly focus on the structure of innovation systems have proven to be insufficient. Therefore, we propose a framework that focuses on a number of processes that are highly important for well performing innovation systems. These processes are labeled as ‘functions of innovation systems’. After explaining this framework and embedding it in existing literature, we propose a method for systematically mapping those processes taking place in innovation systems and resulting in technological change. This method can be characterized as a process analysis or history event analysis. Clarifying examples are taken from the empirical field of Sustainable Technology Development."
"18","W2132738192","Albert Bandura",2006,"Toward a Psychology of Human Agency","https://doi.org/10.1111/j.1745-6916.2006.00011.x",1954,"This article presents an agentic theory of human development, adaptation, and change. The evolutionary emergence of advanced symbolizing capacity enabled humans to transcend the dictates of their immediate environment and made them unique in their power to shape their life circumstances and the courses their lives take. In this conception, people are contributors to their life circumstances, not just products of them. Social cognitive theory rejects a duality between human agency and social structure. People create social systems, and these systems, in turn, organize and influence people's lives. This article discusses the core properties of human agency, the different forms it takes, its ontological and epistemological status, its development and role in causal structures, its growing primacy in the coevolution process, and its influential exercise at individual and collective levels across diverse spheres of life and cultural systems."
"19","W1982748232","Daniel J. Lang, Arnim Wiek, Matthias Bergmann, Michael Stauffacher, Pim Martens, Peter Moll, Mark Swilling, Christopher Thomas",2012,"Transdisciplinary research in sustainability science: practice, principles, and challenges","https://doi.org/10.1007/s11625-011-0149-x",1674,"There is emerging agreement that sustainability challenges require new ways of knowledge production and decision-making. One key aspect of sustainability science, therefore, is the involvement of actors from outside academia into the research process in order to integrate the best available knowledge, reconcile values and preferences, as well as create ownership for problems and solution options. Transdisciplinary, community-based, interactive, or participatory research approaches are often suggested as appropriate means to meet both the requirements posed by real-world problems as well as the goals of sustainability science as a transformational scientific field. Dispersed literature on these approaches and a variety of empirical projects applying them make it difficult for interested researchers and practitioners to review and become familiar with key components and design principles of how to do transdisciplinary sustainability research. Starting from a conceptual model of an ideal–typical transdisciplinary research process, this article synthesizes and structures such a set of principles from various strands of the literature and empirical experiences. We then elaborate on them, looking at challenges and some coping strategies as experienced in transdisciplinary sustainability projects in Europe, North America, South America, Africa, and Asia. The article concludes with future research needed in order to further enhance the practice of transdisciplinary sustainability research."
"20","W2144768886","Adrian Smith, Andy Stirling, Frans Berkhout",2005,"The governance of sustainable socio-technical transitions","https://doi.org/10.1016/j.respol.2005.07.005",1628,"A quasi-evolutionary model of socio-technical transitions is described in which regimes face selection pressures continuously. Differentiated transition contexts determine the form and direction of regime change in response to these pressures. The articulation of pressures, and the degree to which responses are coordinated and based on resources available within the regime, define the transition context. Four alternative contexts are described: endogenous renewal; re-orientation of trajectories; emergent transformation and purposive transitions. Agency and power in the governance of regime transformation are analysed. Power to affect change depends on regime membership, the distribution of resources for change and expectations."
"21","W1970551484","Connie J. G. Gersick",1991,"REVOLUTIONARY CHANGE THEORIES: A MULTILEVEL EXPLORATION OF THE PUNCTUATED EQUILIBRIUM PARADIGM","https://doi.org/10.5465/amr.1991.4278988",1553,"Research on how organizational systems develop and change is shaped, at every level of analysis, by traditional assumptions about how change works. New theories in several fields are challenging some of the most pervasive of these assumptions, by conceptualizing change as a punctuated equilibrium: an alternation between long periods when stable infrastructures permit only incremental adaptations, and brief periods of revolutionary upheaval. This article compares models from six domains—adult, group, and organizational development, history of science, biological evolution, and physical science—to explicate the punctuated equilibrium paradigm and show its broad applicability for organizational studies. Models are juxtaposed to generate new research questions about revolutionary change in organizational settings: how it is triggered, how systems function during such periods, and how it concludes. The article closes with implications for research and theory."
"22","W2082597100","Anna Bergek, Staffan Jacobsson, Bo Carlsson, Sven Lindmark, Annika Rickne",2008,"Analyzing the functional dynamics of technological innovation systems: A scheme of analysis","https://doi.org/10.1016/j.respol.2007.12.003",1537,"Various researchers and policy analysts have made empirical studies of innovation systems in order to understand their current structure and trace their dynamics. However, policy makers often experience difficulties in extracting practical guidelines from studies of this kind. In this paper, we operationalize our previous work on a functional approach to analyzing innovation system dynamics into a practical scheme of analysis for policy makers. The scheme is based on previous literature and our own experience in developing and applying functional thinking. It can be used by policy makers not only to identify the key policy issues but also to set policy goals."
"23","W2154302927","Jan Rotmans, René Kemp, Marjolein B.A. van Asselt",2001,"More evolution than revolution: transition management in public policy","https://doi.org/10.1108/14636680110803003",1508,"Transitions are transformation processes in which society changes in a fundamental way over a generation or more. Although the goals of a transition are ultimately chosen by society, governments can play a role in bringing about structural change in a stepwise manner. Their management involves sensitivity to existing dynamics and regular adjustment of goals to overcome the conflict between long‐term ambition and short‐term concerns. This article uses the example of a transition to a low emission energy supply in the Netherlands to argue that transition management provides a basis for coherence and consistency in public policy and can be the spur to sustainable development."
"24","W2117275101","JW Johan Schot, Frank W. Geels",2008,"Strategic niche management and sustainable innovation journeys: theory, findings, research agenda, and policy","https://doi.org/10.1080/09537320802292651",1392,"This article discusses empirical findings and conceptual elaborations of the last 10 years in strategic niche management research (SNM). The SNM approach suggests that sustainable innovation journeys can be facilitated by creating technological niches, i.e. protected spaces that allow the experimentation with the co-evolution of technology, user practices, and regulatory structures. The assumption was that if such niches were constructed appropriately, they would act as building blocks for broader societal changes towards sustainable development. The article shows how concepts and ideas have evolved over time and new complexities were introduced. Research focused on the role of various niche-internal processes such as learning, networking, visioning and the relationship between local projects and global rule sets that guide actor behaviour. The empirical findings showed that the analysis of these niche-internal dimensions needed to be complemented with attention to niche external processes. In this respect, the multi-level perspective proved useful for contextualising SNM. This contextualisation led to modifications in claims about the dynamics of sustainable innovation journeys. Niches are to be perceived as crucial for bringing about regime shifts, but they cannot do this on their own. Linkages with ongoing external processes are also important. Although substantial insights have been gained, the SNM approach is still an unfinished research programme. We identify various promising research directions, as well as policy implications."
"25","W2059527695","Adrian Smith, Jan-Peter Voß, John Grin",2010,"Innovation studies and sustainability transitions: The allure of the multi-level perspective and its challenges","https://doi.org/10.1016/j.respol.2010.01.023",1191,"Sustainable development is prompting a re-assessment of innovation and technological change. This review paper contributes three things towards this re-assessment activity. First, it considers how the history of innovation studies for sustainable development can be explained as a process of linking broader analytical frameworks to successively larger problem framings. Second it introduces an emerging framework whose allure rests in its ability to capture the bigger picture: the multi-level perspective on socio-technical transitions (MLP). Whilst burgeoning researcher networks and literature suggests this policy-relevant theory is attractive, it is not without its challenges. The third purpose of this paper is to elaborate these challenges as areas for further research and development. We do this by drawing upon contributions to this special section and the wider literature."
"26","W2152600059","Will Steffen, Asa Persson, Lisa Deutsch, Jan Zalasiewicz, Mark Williams, Katherine Richardson, Carole L. Crumley, Paul J. Crutzen, Carl Folke, Line Gordon, Mario J. Molina, Veerabhadran Ramanathan, Johan Rockström, Marten Scheffer, Hans Joachim Schellnhuber, Uno Svedin",2011,"The Anthropocene: From Global Change to Planetary Stewardship","https://doi.org/10.1007/s13280-011-0185-x",1100,"Over the past century, the total material wealth of humanity has been enhanced. However, in the twenty-first century, we face scarcity in critical resources, the degradation of ecosystem services, and the erosion of the planet's capability to absorb our wastes. Equity issues remain stubbornly difficult to solve. This situation is novel in its speed, its global scale and its threat to the resilience of the Earth System. The advent of the Anthropence, the time interval in which human activities now rival global geophysical processes, suggests that we need to fundamentally alter our relationship with the planet we inhabit. Many approaches could be adopted, ranging from geoengineering solutions that purposefully manipulate parts of the Earth System to becoming active stewards of our own life support system. The Anthropocene is a reminder that the Holocene, during which complex human societies have developed, has been a stable, accommodating environment and is the only state of the Earth System that we know for sure can support contemporary society. The need to achieve effective planetary stewardship is urgent. As we go further into the Anthropocene, we risk driving the Earth System onto a trajectory toward more hostile states from which we cannot easily return."
"27","W2180863964","A. M. Smith, Rob Raven",2012,"What is protective space? Reconsidering niches in transitions to sustainability","https://doi.org/10.1016/j.respol.2011.12.012",1079,"► The concept of protection has not been systematically interrogated in sustainability transitions. ► Our analysis identifies three properties of protection: shielding, nurturing and empowerment. ► Empowerment is the least developed; a distinction is made between fit-and-confirm and stretch-and-transform empowerment. ► It is proposed to analyse the politics involved in empowerment with the notion of narratives. ► Future research is proposed to focus on the empirical reconstruction of niche development in light of the present framework and the analyses of the diverse political narratives across time and space. The transitions literature emphasises the role of niches, defined as a protective space for path-breaking innovations. Surprisingly, the concept of protection has not been systematically interrogated. Our analysis identifies effective protection as having three properties in wider transition processes: shielding, nurturing and empowerment. Empowerment is considered the least developed in current niche literature. It can be understood as either processes that make niche innovations competitive within unchanged selection environments (fit-and-conform) or as processes that contribute to changes in mainstream selection environments in ways favourable to a path-breaking niche innovation (stretch-and-transform). Adopting a more constructivist perspective, we subsequently argue that analysis of these properties needs to be complemented with particular attention for the politics involved in their construction. Attention to empowerment confirms the view that niche actors need to link to wider processes of social change, and suggests how this arises. The paper ends with an outlook upon two promising research avenues: (1) the reconstruction of niche development in light of the present framework; (2) analyses of the diverse (political) narratives seeking to empower niches across time and space."
"28","W2070488366","Derk Loorbach",2010,"Transition Management for Sustainable Development: A Prescriptive, Complexity-Based Governance Framework","https://doi.org/10.1111/j.1468-0491.2009.01471.x",1078,"This article introduces transition management as a new governance approach for sustainable development. Sustainable development is used here as a common notion referring to those persistent problems in (Western industrialized) societies that can only be dealt with on the very long term (decades or more) through specific types of network and decision-making processes. Based on interdisciplinary research into complex processes of long term, structural change in society, basic tenets for complexity-based governance are formulated. These tenets are translated into a framework that distinguishes between four different types of governance activities and their respective roles in societal transitions. This framework can be used for implementation of governance strategies and instruments. The approach and framework have been developed deductively and inductively in the Netherlands since 2000. This article presents the theoretical basis of transition management and will be illustrated by examples from transition management practice, especially the Dutch national energy transition program."
"29","W2910922638","Jonathan Köhler, Benjamin K. Sovacool, Florian Kern, Jochen Markard, Anna J. Wieczorek, Floortje Alkemade, Flor Avelino, Anna Bergek, Frank Boons, Lea Fünfschilling, David C. Hess, Georg Holtz, Sampsa Hyysalo, Kirsten Jenkins, Paula Kivimaa, Mari Martiskainen, Andrew McMeekin, Marie Susan Mühlemeier, Björn Nykvist, Elsie Onsongo, Bonno Pel, Rob Raven, Harald Rohracher, Björn A. Sandén, Johan Schot, Benjamin K. Sovacool, Bruno Turnheim, Danny R. Welch, Peter Erskine Wells",2019,"An agenda for sustainability transitions research: State of the art and future directions","https://doi.org/10.1016/j.eist.2019.01.004",1019,"Research on sustainability transitions has expanded rapidly in the last ten years, diversified in terms of topics and geographical applications, and deepened with respect to theories and methods. This article provides an extensive review and an updated research agenda for the field, classified into nine main themes: understanding transitions; power, agency and politics; governing transitions; civil society, culture and social movements; businesses and industries; transitions in practice and everyday life; geography of transitions; ethical aspects; and methodologies. The review shows that the scope of sustainability transitions research has broadened and connections to established disciplines have grown stronger. At the same time, we see that the grand challenges related to sustainability remain unsolved, calling for continued efforts and an acceleration of ongoing transitions. Transition studies can play a key role in this regard by creating new perspectives, approaches and understanding and helping to move society in the direction of sustainability."
"30","W4292168260","Maria Carmen Lemos, Arun Agrawal",2006,"Environmental Governance","https://doi.org/10.1146/annurev.energy.31.042605.135621",979,"▪ Abstract This chapter reviews the literature relevant to environmental governance in four domains of scholarship: globalization, decentralization, market and individual incentives-based governance, and cross-scale governance. It argues that in view of the complexity and multiscalar character of many of the most pressing environmental problems, conventional debates focused on pure modes of governance–where state or market actors play the leading role–fall short of the capacity needed to address them. The review highlights emerging hybrid modes of governance across the state-market-community divisions: comanagement, public-private partnerships and social-private partnerships. It examines the significant promise they hold for coupled social and natural systems to recover from environmental degradation and change and explores some of the critical problems to which hybrid forms of environmental governance are also subject."
"31","W2995840337","Sandra Díaz, Josef Settele, Eduardo S. Brondizio, Hien Quoc Ngo, John Agard, Almut Arneth, Patricia Balvanera, Kate A. Brauman, Stuart H. M. Butchart, Kai M. A. Chan, Lucas Alejandro Garibaldi, Kazuhito Ichii, Jianguo Liu, Suneetha M. Subramanian, Guy F. Midgley, Patricia Miloslavich, Zsolt Molnár, David Obura, Alexander Pfaff, Stephen Polasky, Andy Purvis, Jona Razzaque, Belinda Reyers, Rinku Roy Chowdhury, Yunne-Jai Shin, Ingrid J. Visseren-Hamakers, Katherine J. Willis, Cynthia N. Zayas",2019,"Pervasive human-driven decline of life on Earth points to the need for transformative change","https://doi.org/10.1126/science.aax3100",948,"The time is now For decades, scientists have been raising calls for societal changes that will reduce our impacts on nature. Though much conservation has occurred, our natural environment continues to decline under the weight of our consumption. Humanity depends directly on the output of nature; thus, this decline will affect us, just as it does the other species with which we share this world. Díaz et al. review the findings of the largest assessment of the state of nature conducted as of yet. They report that the state of nature, and the state of the equitable distribution of nature's support, is in serious decline. Only immediate transformation of global business-as-usual economies and operations will sustain nature as we know it, and us, into the future. Science , this issue p. eaax3100"
"32","W2990024397","Timothy M. Lenton, Johan Rockström, Owen Gaffney, Stefan Rahmstorf, Katherine Richardson, Will Steffen, Hans Joachim Schellnhuber",2019,"Climate tipping points — too risky to bet against","https://doi.org/10.1038/d41586-019-03595-0",943,"The growing threat of abrupt and irreversible climate changes must compel political and economic action on emissions. The growing threat of abrupt and irreversible climate changes must compel political and economic action on emissions."
"33","W2150600289","Benjamin K. Sovacool",2014,"Regime Resistance against Low-Carbon Transitions: Introducing Politics and Power into the Multi-Level Perspective","https://doi.org/10.1177/0263276414531627",931,"While most studies of low-carbon transitions focus on green niche-innovations, this paper shifts attention to the resistance by incumbent regime actors to fundamental change. Drawing on insights from political economy, the paper introduces politics and power into the multi-level perspective. Instrumental, discursive, material and institutional forms of power and resistance are distinguished and illustrated with examples from the UK electricity system. The paper concludes that the resistance and resilience of coal, gas and nuclear production regimes currently negates the benefits from increasing renewables deployment. It further suggests that policymakers and many transition-scholars have too high hopes that ‘green’ innovation will be sufficient to bring about low-carbon transitions. Future agendas in research and policy should therefore pay much more attention to the destabilization and decline of existing fossil fuel regimes."
"34","W2078778096","Robert W. Kates, William D. Travis, Thomas J. Wilbanks",2012,"Transformational adaptation when incremental adaptations to climate change are insufficient","https://doi.org/10.1073/pnas.1115521109",915,"All human–environment systems adapt to climate and its natural variation. Adaptation to human-induced change in climate has largely been envisioned as increments of these adaptations intended to avoid disruptions of systems at their current locations. In some places, for some systems, however, vulnerabilities and risks may be so sizeable that they require transformational rather than incremental adaptations. Three classes of transformational adaptations are those that are adopted at a much larger scale, that are truly new to a particular region or resource system, and that transform places and shift locations. We illustrate these with examples drawn from Africa, Europe, and North America. Two conditions set the stage for transformational adaptation to climate change: large vulnerability in certain regions, populations, or resource systems; and severe climate change that overwhelms even robust human use systems. However, anticipatory transformational adaptation may be difficult to implement because of uncertainties about climate change risks and adaptation benefits, the high costs of transformational actions, and institutional and behavioral actions that tend to maintain existing resource systems and policies. Implementing transformational adaptation requires effort to initiate it and then to sustain the effort over time. In initiating transformational adaptation focusing events and multiple stresses are important, combined with local leadership. In sustaining transformational adaptation, it seems likely that supportive social contexts and the availability of acceptable options and resources for actions are key enabling factors. Early steps would include incorporating transformation adaptation into risk management and initiating research to expand the menu of innovative transformational adaptations."
"35","W2104460807","Branden Born, Mark Purcell",2006,"Avoiding the Local Trap","https://doi.org/10.1177/0739456x06291389",838,"A strong current of food-systems research holds that local food systems are preferable to systems at larger scales. Many assume that eating local food is more ecologically sustainable and socially just. We term this the local trap and argue strongly against it. We draw on current scale theory in political and economic geography to argue that local food systems are no more likely to be sustainable or just than systems at other scales. The theory argues that scale is socially produced: scales (and their interrelations) are not independent entities with inherent qualities but strategies pursued by social actors with a particular agenda. It is the content of that agenda, not the scales themselves, that produces outcomes such as sustainability or justice. As planners move increasingly into food-systems research, we argue it is critical to avoid the local trap. The article’s theoretical approach to scale offers one way to do so."
